Store,Dept,Date,Weekly_Pred,IsHoliday
1.0,1.0,2011-07-01,16542.665410848444,0.0
1.0,1.0,2011-07-08,17264.893940072383,0.0
1.0,1.0,2011-07-15,16731.099795207723,0.0
1.0,1.0,2011-07-22,15611.929938050327,0.0
1.0,1.0,2011-07-29,16286.179853712782,0.0
1.0,1.0,2011-08-05,16239.887474386594,0.0
1.0,1.0,2011-08-12,15990.278236625823,0.0
1.0,1.0,2011-08-19,15571.791952699297,0.0
1.0,1.0,2011-08-26,15400.838654594603,0.0
1.0,2.0,2011-07-01,48450.3919489923,0.0
1.0,2.0,2011-07-08,46163.704509990435,0.0
1.0,2.0,2011-07-15,47473.99783766913,0.0
1.0,2.0,2011-07-22,46141.85637323852,0.0
1.0,2.0,2011-07-29,47131.267131228844,0.0
1.0,2.0,2011-08-05,49433.79462221768,0.0
1.0,2.0,2011-08-12,49574.96395694572,0.0
1.0,2.0,2011-08-19,50008.921534062276,0.0
1.0,2.0,2011-08-26,49297.56090395842,0.0
1.0,3.0,2011-07-01,7575.749679180755,0.0
1.0,3.0,2011-07-08,9121.969277967311,0.0
1.0,3.0,2011-07-15,16065.082358112928,0.0
1.0,3.0,2011-07-22,18111.191756235658,0.0
1.0,3.0,2011-07-29,19768.741833820404,0.0
1.0,3.0,2011-08-05,24900.340084820044,0.0
1.0,3.0,2011-08-12,30097.661398468557,0.0
1.0,3.0,2011-08-19,43257.69950490936,0.0
1.0,3.0,2011-08-26,50171.654763534134,0.0
1.0,4.0,2011-07-01,39679.97002235106,0.0
1.0,4.0,2011-07-08,39251.84699180008,0.0
1.0,4.0,2011-07-15,37269.47503396931,0.0
1.0,4.0,2011-07-22,35670.73153236181,0.0
1.0,4.0,2011-07-29,36027.774178666135,0.0
1.0,4.0,2011-08-05,40228.79711577193,0.0
1.0,4.0,2011-08-12,38495.928974748866,0.0
1.0,4.0,2011-08-19,40362.180820335416,0.0
1.0,4.0,2011-08-26,36934.498766738616,0.0
1.0,5.0,2011-07-01,19397.60636363421,0.0
1.0,5.0,2011-07-08,17755.119256496993,0.0
1.0,5.0,2011-07-15,15776.58198313867,0.0
1.0,5.0,2011-07-22,15722.959743317546,0.0
1.0,5.0,2011-07-29,17493.898813428572,0.0
1.0,5.0,2011-08-05,16739.190680806507,0.0
1.0,5.0,2011-08-12,15965.237875445959,0.0
1.0,5.0,2011-08-19,15874.316031429547,0.0
1.0,5.0,2011-08-26,14041.631795533214,0.0
1.0,6.0,2011-07-01,3750.1099579262054,0.0
1.0,6.0,2011-07-08,3584.1086376847206,0.0
1.0,6.0,2011-07-15,2898.589598375137,0.0
1.0,6.0,2011-07-22,3242.401816649127,0.0
1.0,6.0,2011-07-29,2733.123261695492,0.0
1.0,6.0,2011-08-05,3945.424747882641,0.0
1.0,6.0,2011-08-12,3314.2147011582247,0.0
1.0,6.0,2011-08-19,1372.3536704217522,0.0
1.0,6.0,2011-08-26,2264.2130074577844,0.0
1.0,7.0,2011-07-01,24303.92076443605,0.0
1.0,7.0,2011-07-08,24457.142449949788,0.0
1.0,7.0,2011-07-15,21985.61777491749,0.0
1.0,7.0,2011-07-22,20223.123734914443,0.0
1.0,7.0,2011-07-29,19696.11024534083,0.0
1.0,7.0,2011-08-05,21758.376288814157,0.0
1.0,7.0,2011-08-12,20343.01681169167,0.0
1.0,7.0,2011-08-19,19788.615470149067,0.0
1.0,7.0,2011-08-26,18206.62677689069,0.0
1.0,8.0,2011-07-01,35287.97811644859,0.0
1.0,8.0,2011-07-08,33809.635564484255,0.0
1.0,8.0,2011-07-15,32906.163563414215,0.0
1.0,8.0,2011-07-22,33232.5412731253,0.0
1.0,8.0,2011-07-29,33542.08539854965,0.0
1.0,8.0,2011-08-05,34332.81238761623,0.0
1.0,8.0,2011-08-12,31967.601240887165,0.0
1.0,8.0,2011-08-19,31225.076582483456,0.0
1.0,8.0,2011-08-26,31420.25833317146,0.0
1.0,9.0,2011-07-01,23705.233173984267,0.0
1.0,9.0,2011-07-08,26387.221501903306,0.0
1.0,9.0,2011-07-15,19141.662396732183,0.0
1.0,9.0,2011-07-22,19512.62727288441,0.0
1.0,9.0,2011-07-29,19068.245943628765,0.0
1.0,9.0,2011-08-05,17280.051397335763,0.0
1.0,9.0,2011-08-12,15867.39621549224,0.0
1.0,9.0,2011-08-19,24121.726762468974,0.0
1.0,9.0,2011-08-26,23075.293902026537,0.0
1.0,10.0,2011-07-01,32898.50600481128,0.0
1.0,10.0,2011-07-08,32604.88734267933,0.0
1.0,10.0,2011-07-15,32032.32361142106,0.0
1.0,10.0,2011-07-22,32799.132399471026,0.0
1.0,10.0,2011-07-29,31372.66782414356,0.0
1.0,10.0,2011-08-05,34116.89445411136,0.0
1.0,10.0,2011-08-12,32766.06532117493,0.0
1.0,10.0,2011-08-19,33462.225053259186,0.0
1.0,10.0,2011-08-26,33240.23168995838,0.0
1.0,11.0,2011-07-01,27878.35855190337,0.0
1.0,11.0,2011-07-08,29178.351254577956,0.0
1.0,11.0,2011-07-15,27958.23695484523,0.0
1.0,11.0,2011-07-22,29679.297950543205,0.0
1.0,11.0,2011-07-29,26935.257654046847,0.0
1.0,11.0,2011-08-05,38235.5642814019,0.0
1.0,11.0,2011-08-12,32295.461709561034,0.0
1.0,11.0,2011-08-19,30877.821725138205,0.0
1.0,11.0,2011-08-26,24739.228813324797,0.0
1.0,12.0,2011-07-01,11214.351552862625,0.0
1.0,12.0,2011-07-08,11932.242162197314,0.0
1.0,12.0,2011-07-15,11576.33107817238,0.0
1.0,12.0,2011-07-22,12486.575112970264,0.0
1.0,12.0,2011-07-29,12448.477440522469,0.0
1.0,12.0,2011-08-05,13838.654547404682,0.0
1.0,12.0,2011-08-12,13867.054954950183,0.0
1.0,12.0,2011-08-19,11178.369510621947,0.0
1.0,12.0,2011-08-26,10924.948410164981,0.0
1.0,13.0,2011-07-01,41245.92326406725,0.0
1.0,13.0,2011-07-08,39330.29556449326,0.0
1.0,13.0,2011-07-15,39841.23274715627,0.0
1.0,13.0,2011-07-22,38718.72627818128,0.0
1.0,13.0,2011-07-29,38365.908133028635,0.0
1.0,13.0,2011-08-05,40704.75494934232,0.0
1.0,13.0,2011-08-12,37383.93793530609,0.0
1.0,13.0,2011-08-19,40322.360344122724,0.0
1.0,13.0,2011-08-26,41153.97380052889,0.0
1.0,14.0,2011-07-01,14087.871628382163,0.0
1.0,14.0,2011-07-08,14556.66629909633,0.0
1.0,14.0,2011-07-15,13530.475649423432,0.0
1.0,14.0,2011-07-22,12911.867619539902,0.0
1.0,14.0,2011-07-29,12873.671264500415,0.0
1.0,14.0,2011-08-05,15205.61969375499,0.0
1.0,14.0,2011-08-12,13911.74090272846,0.0
1.0,14.0,2011-08-19,14694.967959449292,0.0
1.0,14.0,2011-08-26,12558.395119638713,0.0
1.0,16.0,2011-07-01,30273.082654633672,0.0
1.0,16.0,2011-07-08,27967.763671838326,0.0
1.0,16.0,2011-07-15,29280.071169289407,0.0
1.0,16.0,2011-07-22,26599.703132399005,0.0
1.0,16.0,2011-07-29,21735.998965957315,0.0
1.0,16.0,2011-08-05,24568.867467064058,0.0
1.0,16.0,2011-08-12,22435.74957558291,0.0
1.0,16.0,2011-08-19,19634.325291090292,0.0
1.0,16.0,2011-08-26,17678.094464240243,0.0
1.0,17.0,2011-07-01,8808.837670541041,0.0
1.0,17.0,2011-07-08,8101.356809463489,0.0
1.0,17.0,2011-07-15,8342.409805278665,0.0
1.0,17.0,2011-07-22,8485.678376300166,0.0
1.0,17.0,2011-07-29,8398.55979160373,0.0
1.0,17.0,2011-08-05,9180.889165116845,0.0
1.0,17.0,2011-08-12,8414.701473443209,0.0
1.0,17.0,2011-08-19,9616.492295322612,0.0
1.0,17.0,2011-08-26,9296.589484819582,0.0
1.0,18.0,2011-07-01,4513.393741865373,0.0
1.0,18.0,2011-07-15,4513.393741865373,0.0
1.0,18.0,2011-08-26,-1035.5272495730676,0.0
1.0,19.0,2011-07-01,867.7910840909215,0.0
1.0,19.0,2011-07-08,972.0577763874069,0.0
1.0,19.0,2011-07-15,987.8903363089528,0.0
1.0,19.0,2011-07-22,1075.7803152531603,0.0
1.0,19.0,2011-07-29,1112.7172726826727,0.0
1.0,19.0,2011-08-05,1123.7152991741648,0.0
1.0,19.0,2011-08-12,1175.1461559819043,0.0
1.0,19.0,2011-08-19,1232.7142668780623,0.0
1.0,19.0,2011-08-26,1181.8168531843446,0.0
1.0,20.0,2011-07-01,5243.748524971424,0.0
1.0,20.0,2011-07-08,4967.974000447547,0.0
1.0,20.0,2011-07-15,4478.469500464155,0.0
1.0,20.0,2011-07-22,4281.849646678312,0.0
1.0,20.0,2011-07-29,4170.738831870026,0.0
1.0,20.0,2011-08-05,4534.809982582695,0.0
1.0,20.0,2011-08-12,4139.956893021242,0.0
1.0,20.0,2011-08-19,3907.0384177863602,0.0
1.0,20.0,2011-08-26,3509.067431819975,0.0
1.0,21.0,2011-07-01,7388.386671092703,0.0
1.0,21.0,2011-07-08,7405.883385381072,0.0
1.0,21.0,2011-07-15,7565.246926713844,0.0
1.0,21.0,2011-07-22,6662.767943691106,0.0
1.0,21.0,2011-07-29,6976.057534873595,0.0
1.0,21.0,2011-08-05,6917.7502217612855,0.0
1.0,21.0,2011-08-12,6499.312167564283,0.0
1.0,21.0,2011-08-19,6317.390359309611,0.0
1.0,21.0,2011-08-26,6775.335738201735,0.0
1.0,22.0,2011-07-01,6814.602557522352,0.0
1.0,22.0,2011-07-08,6568.431034722997,0.0
1.0,22.0,2011-07-15,7005.647028980273,0.0
1.0,22.0,2011-07-22,6605.473882006094,0.0
1.0,22.0,2011-07-29,7238.801285022133,0.0
1.0,22.0,2011-08-05,7812.540693596375,0.0
1.0,22.0,2011-08-12,7604.313588016017,0.0
1.0,22.0,2011-08-19,8894.83400018425,0.0
1.0,22.0,2011-08-26,7286.261541167876,0.0
1.0,23.0,2011-07-01,22054.389827514584,0.0
1.0,23.0,2011-07-08,21886.337972572008,0.0
1.0,23.0,2011-07-15,18915.27737071149,0.0
1.0,23.0,2011-07-22,20284.167979144542,0.0
1.0,23.0,2011-07-29,19931.867941416618,0.0
1.0,23.0,2011-08-05,21519.862780790827,0.0
1.0,23.0,2011-08-12,21355.562448860197,0.0
1.0,23.0,2011-08-19,25003.76461635896,0.0
1.0,23.0,2011-08-26,27323.262649079952,0.0
1.0,24.0,2011-07-01,3694.392903025057,0.0
1.0,24.0,2011-07-08,4179.780182262096,0.0
1.0,24.0,2011-07-15,4168.281118560611,0.0
1.0,24.0,2011-07-22,5467.716207936784,0.0
1.0,24.0,2011-07-29,7151.579198262333,0.0
1.0,24.0,2011-08-05,9378.413570708855,0.0
1.0,24.0,2011-08-12,11014.707078530597,0.0
1.0,24.0,2011-08-19,16874.999554390582,0.0
1.0,24.0,2011-08-26,15916.331126652918,0.0
1.0,25.0,2011-07-01,9012.382489763004,0.0
1.0,25.0,2011-07-08,8294.839358093952,0.0
1.0,25.0,2011-07-15,8049.6013225207935,0.0
1.0,25.0,2011-07-22,8127.859862128542,0.0
1.0,25.0,2011-07-29,8371.60235773799,0.0
1.0,25.0,2011-08-05,8486.067802499318,0.0
1.0,25.0,2011-08-12,8383.44037783592,0.0
1.0,25.0,2011-08-19,8849.303245261115,0.0
1.0,25.0,2011-08-26,8603.450763900568,0.0
1.0,26.0,2011-07-01,4295.846049431834,0.0
1.0,26.0,2011-07-08,4474.824943717226,0.0
1.0,26.0,2011-07-15,4467.523372060742,0.0
1.0,26.0,2011-07-22,4364.053001836065,0.0
1.0,26.0,2011-07-29,4240.145846816368,0.0
1.0,26.0,2011-08-05,4889.761402367737,0.0
1.0,26.0,2011-08-12,4631.908039713401,0.0
1.0,26.0,2011-08-19,5178.156234555535,0.0
1.0,26.0,2011-08-26,4621.9766950818075,0.0
1.0,27.0,2011-07-01,796.7287627629722,0.0
1.0,27.0,2011-07-08,687.1111534786779,0.0
1.0,27.0,2011-07-15,787.6327576875357,0.0
1.0,27.0,2011-07-22,728.4122565379095,0.0
1.0,27.0,2011-07-29,849.6264278231848,0.0
1.0,27.0,2011-08-05,1030.0299444186694,0.0
1.0,27.0,2011-08-12,1030.949124595414,0.0
1.0,27.0,2011-08-19,1467.2994427249378,0.0
1.0,27.0,2011-08-26,1801.1743879570586,0.0
1.0,28.0,2011-07-01,259.9078335431848,0.0
1.0,28.0,2011-07-08,255.27786872784853,0.0
1.0,28.0,2011-07-15,264.02388274854525,0.0
1.0,28.0,2011-07-22,364.40000834058515,0.0
1.0,28.0,2011-07-29,270.01638154253374,0.0
1.0,28.0,2011-08-05,235.65362931192865,0.0
1.0,28.0,2011-08-12,271.61809825709565,0.0
1.0,28.0,2011-08-19,244.42865453420453,0.0
1.0,28.0,2011-08-26,267.79604970569267,0.0
1.0,29.0,2011-07-01,4518.994574772557,0.0
1.0,29.0,2011-07-08,4430.349020375826,0.0
1.0,29.0,2011-07-15,4284.369921093937,0.0
1.0,29.0,2011-07-22,4141.980823893754,0.0
1.0,29.0,2011-07-29,4285.191214997917,0.0
1.0,29.0,2011-08-05,4996.325384120005,0.0
1.0,29.0,2011-08-12,4748.693154574618,0.0
1.0,29.0,2011-08-19,4922.367529064256,0.0
1.0,29.0,2011-08-26,5118.0800180785145,0.0
1.0,30.0,2011-07-01,3888.4838686287812,0.0
1.0,30.0,2011-07-08,3478.794352614129,0.0
1.0,30.0,2011-07-15,3731.4802667695158,0.0
1.0,30.0,2011-07-22,3766.3686214491436,0.0
1.0,30.0,2011-07-29,3660.2852547921184,0.0
1.0,30.0,2011-08-05,4087.0824048827462,0.0
1.0,30.0,2011-08-12,3757.4079074761075,0.0
1.0,30.0,2011-08-19,4428.250521913386,0.0
1.0,30.0,2011-08-26,4257.075926078524,0.0
1.0,31.0,2011-07-01,1960.2183921879703,0.0
1.0,31.0,2011-07-08,2101.2154001599874,0.0
1.0,31.0,2011-07-15,1550.7650617745091,0.0
1.0,31.0,2011-07-22,2200.151001926739,0.0
1.0,31.0,2011-07-29,2723.379917694964,0.0
1.0,31.0,2011-08-05,3962.0148245214896,0.0
